group,signal,paired_quarters,correlation
성수,population_yoy,15,0.5130451982379142
성수,stores_yoy,15,-0.12801387961743219
성수,cafe_share,15,0.10416651453623385
성수,young_share,15,0.5557537628385089
성수,weekend_share,15,0.31852897861199087
성수,opening_rate,15,-0.3269715138736943
성수,western_share_common,15,0.38210731037575774
성수,bakery_share_common,15,-0.1391966486606117
연남,population_yoy,15,0.6459491031337703
연남,stores_yoy,15,-0.8090068877920475
연남,cafe_share,15,-0.40438149449341
연남,young_share,15,0.025031049376448133
연남,weekend_share,15,-0.16338370073493097
연남,opening_rate,15,-0.2804382236698794
연남,western_share_common,15,0.5791470238932567
연남,bakery_share_common,15,0.6344672801958358
용리단길,population_yoy,15,0.24091342209765568
용리단길,stores_yoy,15,-0.2178024954383164
용리단길,cafe_share,15,-0.538462174902774
용리단길,young_share,15,0.2646844349815307
용리단길,weekend_share,15,0.015907804975329225
용리단길,opening_rate,15,0.5851283809631062
용리단길,western_share_common,15,0.2867270321035082
용리단길,bakery_share_common,15,0.10137644013556857
